,名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03,利き手,攻守
51,Abyell,24:04.4,00:07.9,1:01,1:01,Mallets,#04,NAGASAKI Miyu,Back,B,FMS,FENG Tianwei,F,Stop,FMS,L,攻撃
53,Abyell,25:03.2,00:05.8,1:01,1:01,Abyell,#01,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Flick,ネット,R,攻撃
55,Abyell,25:53.9,00:08.5,1:01,1:01,Mallets,#06,NAGASAKI Miyu,Back,B,FMS,FENG Tianwei,F,Stop,FMS,L,攻撃
57,Abyell,26:49.4,00:11.1,1:01,1:01,Abyell,#05,HAMAMOTO Yui,(Side),F,BS,NAGAO TAKAKO,F,Push,BM,R,攻撃
59,Abyell,27:50.6,00:06.8,1:01,1:01,Mallets,#02,NAGASAKI Miyu,Back,B,FS,FENG Tianwei,F,ドライブ,BM,L,攻撃
0,Abyell,01:21.3,00:07.5,0:00,0:00,RedELF,#06,HAMAMOTO Yui,(Side),F,FMS,HIRANO Miu,F,Stop,FMS,R,攻撃
1,Abyell,01:39.7,00:06.1,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,HIRANO Miu,F,Stop,FMS,R,攻撃
4,Abyell,02:27.7,00:08.2,0:00,0:00,RedELF,#04,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Stop,BMS,L,攻撃
5,Abyell,02:49.0,00:08.5,0:00,0:00,RedELF,#06,NAGASAKI Miyu,(Side),B,BMS,MAEDA Miyu,B,Stop,BS,L,攻撃
8,Abyell,04:02.5,00:07.1,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,HIRANO Miu,F,Stop,FMS,R,攻撃
9,Abyell,04:23.8,00:08.1,0:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,FMS,HIRANO Miu,B,Chiquita,F,R,攻撃
12,Abyell,05:33.9,00:07.5,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Stop,BMS,L,攻撃
13,Abyell,05:53.5,00:06.3,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Chiquita,BMS,L,攻撃
16,Abyell,07:07.1,00:07.1,0:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,FMS,HIRANO Miu,F,Stop,FS,R,攻撃
17,Abyell,07:29.8,00:06.5,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,HIRANO Miu,F,Flick,B,R,攻撃
21,Abyell,10:36.6,00:05.9,1:00,0:00,RedELF,#02,HAMAMOTO Yui,(Side),F,BS,MAEDA Miyu,B,Flick,F,R,攻撃
22,Abyell,10:52.9,00:06.9,1:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,MAEDA Miyu,B,Chiquita,B,R,攻撃
25,Abyell,11:57.3,00:09.9,1:00,0:00,Abyell,#09-,NAGASAKI Miyu,Side,B,FS,HIRANO Miu,F,Stop,BMS,L,攻撃
26,Abyell,12:24.2,00:08.9,1:00,0:00,RedELF,#04,NAGASAKI Miyu,Side,B,FMS,HIRANO Miu,F,Push,BM,L,攻撃
